<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
Feature ID	Data Definition	Alternate Name	Name	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Data Submitter
ABY-0115415	signal	YPO0029	dtd	161.3	174.1	144	192.3	159.2	168.5	127.6	149	156.8	97.4	140.3	128.5	365.8	363.5	207.5	258.8	242.4	307.8	90.4	72.2	91.8	84.4	85.9	82.6	461.5	373.5	511.8	427.4	594.1	585.8	YU QIU
ABY-0115426	signal	YPO0032	yiiD	804.1	757.7	998.6	825.3	927.9	615.8	676.8	710	637.1	648.9	644.7	678.2	655.8	580.7	602	595.9	589.7	679.9	1163.2	1218.9	1238.2	1244.1	1265.4	1219.7	321.1	377.5	417	333.9	392.2	339.5	YU QIU
ABY-0115430	signal	YPO0033	yicH	767.8	691.2	844.8	513.1	738.8	545	340.4	344.1	383.2	364.2	343.6	356.6	577.4	670	654.8	663.9	583.5	597.4	646.9	572.3	571.8	646.4	608.8	679.4	589.3	632.5	762.7	740.8	623.7	612.6	YU QIU
ABY-0115432	signal	YPO0034	yicE	80.4	157.1	124.7	128.8	136.6	115.6	31.2	56.7	34.6	47.1	32.3	30	348.5	245.3	368.2	312.3	469.3	300.3	184.6	144.8	148	155.2	141.8	139.6	55.7	50.4	84.1	82.4	82.9	41.6	YU QIU
ABY-0115446	signal	YPO0035	gltS	199.2	241.6	288.3	347.1	186.4	219.4	352.7	270.9	344.7	268.3	277.6	294.2	2024.3	1612	1850.6	1971.3	1825.7	1689	1537.7	1465.6	1369.2	1482.1	1091.3	1227.7	463.9	390.3	329.8	384.2	341.7	417	YU QIU
ABY-0115458	signal	YPO0036	recG	424.4	448.2	590.1	412	668.1	483.8	112.2	277.3	158.2	183	141.8	193.3	559.1	646.3	705.5	708.5	632	744.4	718	537	510.9	500.1	473.2	532.9	129.2	134.9	168.5	98.6	90.8	91.1	YU QIU
ABY-0115463	signal	YPO0037	trmH	362	352.6	392	246.3	559.6	372.1	88.2	36.3	124.9	98.3	113.8	93	373.2	343.9	372.7	428.2	522.1	320.9	399	315.1	312.5	281.1	258.3	276.4	47.9	41.1	42.1	58.2	39.3	50.6	YU QIU
ABY-0115465	signal	YPO0038	spoT	698	919.9	949.9	660.8	863.9	964.9	201.4	264.4	272.2	278.5	266.5	249.7	1308	1496.8	1203.2	1310	1352.9	1137.9	1008.2	855.7	800.2	700	764.1	763.1	203.7	230.8	251.5	267.6	217	234.8	YU QIU
ABY-0115466	signal	YPO0039	rpoZ	1925.3	1766.9	1881.8	2135.8	1888	2504.3	1094.6	718.3	1049.5	1007.8	1097.9	1031.8	2873.6	2951.4	2560.4	2681.1	2930.7	2689.4	2321.6	2114.9	2303.9	2045.4	2133.5	2038.6	1748.1	1679.8	1627.1	1687.4	1507.7	1624.9	YU QIU
ABY-0115467	signal	YPO0040	gmk	497.3	677.1	1069.9	735.7	753.4	754.7	803.5	582.6	777	827.3	827.5	770.1	1114.6	1099.8	1232.9	1339.9	1131.7	1232.8	1032	1009.3	666	694.7	627.5	524.3	1453.2	1461.3	1486.5	1368	1478.1	1599.2	YU QIU
ABY-0115472	signal	YPO0041	ligB	132.1	108.4	69.3	66.1	148	118.4	97.9	148.8	154	116.9	89.8	109.3	63.6	57.6	66.9	52.1	70.3	62.9	56.1	64.4	56.2	69.8	77.1	75.8	114.3	125.6	152.8	111.7	114.9	81.5	YU QIU
ABY-0115475	signal	YPO0042	yicG	210.2	321.3	243.1	124.4	269.1	342	103.9	76.6	107.9	104.6	81.7	64.5	404.7	386.2	333.2	350.6	440.2	343.4	421.2	327.1	145.2	187	151.6	85.7	160.5	176.5	135.7	193.8	149.5	183.3	YU QIU
ABY-0115482	signal	YPO0043	yicC	531.2	499.1	517.4	599.9	821.4	582.2	248.5	157.5	216.5	223.2	207.7	193.3	532.9	614	686.3	679.3	688.2	638.1	603.7	580.3	657.2	646.9	576.9	519.2	754.3	675.3	800	724.7	753.9	646.1	YU QIU
ABY-0115483	signal	YPO0044	rph	352.9	495.3	517.6	514.8	533	583.4	175.1	173.1	214.6	191.1	115.7	141.8	770.1	683.5	683.9	662.6	763.1	662.9	605.8	567.1	602.7	580.7	509	504.6	184.2	231.6	245.9	240	193.3	181.5	YU QIU
